sp_id,rp_id,seeker_post,response_post,level,rationales
u1v2w3,x7z8a9,"I feel like I’m failing at everything lately.","That must be really discouraging. You’re doing your best, and that effort still matters.",2,"You’re doing your best, and that effort still matters."
v2w3x4,y8a9b0,"I can’t stop missing someone who doesn’t care anymore.","That’s deeply painful. Missing them shows how much you cared—it’s okay to still feel that way.",2,"Missing them shows how much you cared—it’s okay to still feel that way."
w3x4y5,z9b0c1,"I feel so overwhelmed with everything happening at once.","That sounds exhausting. It’s okay to slow down and take one thing at a time.",2,"It’s okay to slow down and take one thing at a time."
x4y5z6,a0c1d2,"I’m scared I’ll never be confident again.","That’s understandable. Confidence comes back gradually when you give yourself patience and care.",2,"Confidence comes back gradually when you give yourself patience and care."
y5z6a7,b1d2e3,"I feel like I’m always being left out.","That must really hurt. Feeling excluded can make anyone question their worth, but you matter.",2,"Feeling excluded can make anyone question their worth, but you matter."
z6a7b8,c2e3f4,"I can’t find joy in anything anymore.","That sounds heavy. When joy feels lost, even small steps toward comfort can help you heal.",2,"When joy feels lost, even small steps toward comfort can help you heal."
a7b8c9,d3f4g5,"I hate how much I depend on others for validation.","That’s a tough feeling. It’s okay to crave reassurance—it shows you care about connection.",2,"It’s okay to crave reassurance—it shows you care about connection."
b8c9d0,e4g5h6,"I feel like my effort never pays off.","That must be discouraging. Sometimes results take longer, but your persistence still has value.",2,"Sometimes results take longer, but your persistence still has value."
c9d0e1,f5h6i7,"I’m scared of being alone forever.","That’s a real fear. You’re not alone in wanting connection—it often finds you when least expected.",2,"You’re not alone in wanting connection—it often finds you when least expected."
d0e1f2,g6i7j8,"I can’t stop feeling like I’m running out of time.","That’s stressful. You’re still moving forward at your own pace, and that’s enough.",2,"You’re still moving forward at your own pace, and that’s enough."
e1f2g3,h7j8k9,"I feel like I’m stuck in the same painful cycle.","That’s so hard. Recognizing the pattern is already a powerful step toward change.",2,"Recognizing the pattern is already a powerful step toward change."
f2g3h4,i8k9l0,"I can’t forgive myself for hurting someone I love.","That’s a deep pain. Forgiving yourself doesn’t excuse the past—it allows healing to begin.",2,"Forgiving yourself doesn’t excuse the past—it allows healing to begin."
g3h4i5,j9l0m1,"I feel like no one really listens when I talk.","That must feel isolating. Your thoughts deserve to be heard and valued.",2,"Your thoughts deserve to be heard and valued."
h4i5j6,k0m1n2,"I keep feeling like I’m not enough for this world.","That’s heartbreaking. You are enough simply by existing, not by proving your worth.",2,"You are enough simply by existing, not by proving your worth."
i5j6k7,l1n2o3,"I’m scared that people will forget about me.","That’s a painful thought. The connections you’ve made have left a mark that lasts.",2,"The connections you’ve made have left a mark that lasts."
j6k7l8,m2o3p4,"I can’t stop thinking about all the chances I missed.","That must be tough. Regret shows you care—it means you’re still learning and growing.",2,"Regret shows you care—it means you’re still learning and growing."
k7l8m9,n3p4q5,"I feel like I’m falling apart but can’t tell anyone.","That sounds painful. You don’t have to face everything alone—help is always within reach.",2,"You don’t have to face everything alone—help is always within reach."
l8m9n0,o4q5r6,"I hate that I can’t seem to stay positive.","That’s okay. Positivity isn’t constant—it’s human to feel down sometimes.",2,"Positivity isn’t constant—it’s human to feel down sometimes."
m9n0o1,p5r6s7,"I feel like people only notice me when I make mistakes.","That’s unfair to experience. You deserve recognition for your effort, not just your errors.",2,"You deserve recognition for your effort, not just your errors."
n0o1p2,q6s7t8,"I can’t stop thinking about everything I’ve lost.","That’s a heavy grief to carry. Remembering what’s gone shows how much it mattered to you.",2,"Remembering what’s gone shows how much it mattered to you."
o1p2q3,r7t8u9,"I feel scared of letting anyone get close to me.","That’s understandable. Protecting yourself is natural, but you still deserve closeness and care.",2,"Protecting yourself is natural, but you still deserve closeness and care."
p2q3r4,s8u9v0,"I hate that I can’t express my feelings properly.","That must be frustrating. Even small words or gestures are valid ways to communicate pain.",2,"Even small words or gestures are valid ways to communicate pain."
q3r4s5,t9v0w1,"I feel invisible even when surrounded by people.","That’s a painful loneliness. You deserve to be seen and understood for who you are.",2,"You deserve to be seen and understood for who you are."
r4s5t6,u0w1x2,"I can’t stop thinking I’m a failure.","That must hurt deeply. Failing doesn’t define you—it’s part of how success is built.",2,"Failing doesn’t define you—it’s part of how success is built."
s5t6u7,v1x2y3,"I feel disconnected from everyone around me.","That’s a hard feeling. It’s okay to crave connection—start small, even one conversation helps.",2,"It’s okay to crave connection—start small, even one conversation helps."
t6u7v8,w2y3z4,"I’m scared of being honest about my emotions.","That’s a brave thought. Honesty takes courage, and you’re already showing it by admitting this.",2,"Honesty takes courage, and you’re already showing it by admitting this."
u7v8w9,x3z4a5,"I can’t stop comparing my life to others.","That’s common. Comparison steals peace—focus on your own growth instead.",2,"Comparison steals peace—focus on your own growth instead."
v8w9x0,y4a5b6,"I feel like I’m always behind in life.","That must be difficult. Everyone’s timeline is different—your pace is still progress.",2,"Everyone’s timeline is different—your pace is still progress."
w9x0y1,z5b6c7,"I can’t stop feeling anxious about everything.","That sounds hard. Anxiety doesn’t mean weakness—it means you care too much at once.",2,"Anxiety doesn’t mean weakness—it means you care too much at once."
x0y1z2,a6c7d8,"I feel like nobody truly cares about me.","That’s heartbreaking. You matter deeply, even if it’s hard to feel it right now.",2,"You matter deeply, even if it’s hard to feel it right now."
