sp_id,rp_id,seeker_post,response_post,level,rationales
g8m8x1,s5l7a4,"I feel like I’m always pretending to be okay.","Maybe you’re afraid that showing your real emotions will make people uncomfortable.",1,"Maybe you’re afraid that showing your real emotions will make people uncomfortable."
h9n9y2,t6m8b5,"I can’t stop worrying about disappointing others.","Maybe you’ve tied your self-worth to making people happy.",1,"Maybe you’ve tied your self-worth to making people happy."
i1p1z3,u7n9c6,"I feel like I’m too sensitive about everything.","Maybe you just feel things more deeply than most people.",1,"Maybe you just feel things more deeply than most people."
j2q2a4,v8p1d7,"I hate how I can’t stop thinking about what I said.","Maybe you’re worried you came across differently than you meant to.",1,"Maybe you’re worried you came across differently than you meant to."
k3r3b5,w9q2e8,"I feel like my emotions are too much for people.","Maybe you’ve learned to hide them because you’re scared of being judged.",1,"Maybe you’ve learned to hide them because you’re scared of being judged."
l4s4c6,x1r3f9,"I can’t focus on anything lately.","Maybe your mind’s been overloaded and just needs some rest.",1,"Maybe your mind’s been overloaded and just needs some rest."
m5t5d7,y2s4g1,"I feel like I’m constantly being misunderstood.","Maybe you express things differently from how people expect you to.",1,"Maybe you express things differently from how people expect you to."
n6u6e8,z3t5h2,"I can’t stop worrying about losing the people I love.","Maybe you’re scared because you’ve lost someone before.",1,"Maybe you’re scared because you’ve lost someone before."
o7v7f9,a4u6j3,"I hate when people tell me to ‘just get over it’.","Maybe they don’t realize how real and heavy it feels for you.",1,"Maybe they don’t realize how real and heavy it feels for you."
p8w8g1,b5v7k4,"I feel like I’m always the one putting in effort.","Maybe you’re craving the same energy and care in return.",1,"Maybe you’re craving the same energy and care in return."
q9x9h2,c6w8l5,"I can’t stop replaying conversations in my head.","Maybe you’re seeking reassurance that you didn’t do anything wrong.",1,"Maybe you’re seeking reassurance that you didn’t do anything wrong."
r1y1j3,d7x9m6,"I feel like I’m not good enough for anyone.","Maybe you’ve been comparing yourself to impossible standards.",1,"Maybe you’ve been comparing yourself to impossible standards."
s2z2k4,e8y1n7,"I hate that I care about people who hurt me.","Maybe you’re hoping they’ll eventually see your kindness.",1,"Maybe you’re hoping they’ll eventually see your kindness."
t3a3l5,f9z2p8,"I feel like I’m constantly overthinking my decisions.","Maybe you’re scared of making a mistake that can’t be undone.",1,"Maybe you’re scared of making a mistake that can’t be undone."
u4b4m6,g1a3q9,"I can’t stop feeling like a burden.","Maybe you’ve been made to feel like needing help isn’t okay.",1,"Maybe you’ve been made to feel like needing help isn’t okay."
v5c5n7,h2b4r1,"I feel like no one appreciates what I do.","Maybe they see it but don’t realize you need to hear it.",1,"Maybe they see it but don’t realize you need to hear it."
w6d6p8,j3c5s2,"I hate that I can’t say no to people.","Maybe you’re afraid of losing their approval or love.",1,"Maybe you’re afraid of losing their approval or love."
x7e7q9,k4d6t3,"I feel like I don’t have control over my life.","Maybe too many things have been uncertain for too long.",1,"Maybe too many things have been uncertain for too long."
y8f8r1,l5e7u4,"I get frustrated when people don’t listen.","Maybe you just want to feel heard and understood for once.",1,"Maybe you just want to feel heard and understood for once."
z9g9s2,m6f8v5,"I feel like I’ve lost interest in everything.","Maybe your energy’s been drained by stress and disappointment.",1,"Maybe your energy’s been drained by stress and disappointment."
a1h1t3,n7g9w6,"I can’t stop checking if people are mad at me.","Maybe you’re used to walking on eggshells to keep peace.",1,"Maybe you’re used to walking on eggshells to keep peace."
b2j2u4,o8h1x7,"I feel like I’ve been pretending to be strong for too long.","Maybe you’re tired of holding everything together without support.",1,"Maybe you’re tired of holding everything together without support."
c3k3v5,p9j2y8,"I hate how quickly I get attached to people.","Maybe you just crave genuine connection and warmth.",1,"Maybe you just crave genuine connection and warmth."
d4l4w6,q1k3z9,"I feel like I’m not allowed to make mistakes.","Maybe you’ve learned that perfection keeps you safe from criticism.",1,"Maybe you’ve learned that perfection keeps you safe from criticism."
e5m5x7,r2l4a1,"I can’t stop worrying about what people think.","Maybe you want to feel accepted without having to prove yourself.",1,"Maybe you want to feel accepted without having to prove yourself."
f6n6y8,s3m5b2,"I feel like I’m invisible to everyone.","Maybe you’ve been overlooked so often that you’ve started believing it.",1,"Maybe you’ve been overlooked so often that you’ve started believing it."
g7p7z9,t4n6c3,"I get anxious when people don’t text back.","Maybe silence makes you fear rejection or being forgotten.",1,"Maybe silence makes you fear rejection or being forgotten."
h8q8a1,u5p7d4,"I feel like my life’s going nowhere fast.","Maybe you’re in a waiting phase before things start moving again.",1,"Maybe you’re in a waiting phase before things start moving again."
i9r9b2,v6q8e5,"I can’t stop comparing myself to my friends.","Maybe you’re measuring your growth by their timeline instead of yours.",1,"Maybe you’re measuring your growth by their timeline instead of yours."
j1s1c3,w7r9f6,"I feel exhausted but can’t rest.","Maybe you’ve been carrying emotional stress that rest can’t fix alone.",1,"Maybe you’ve been carrying emotional stress that rest can’t fix alone."
